timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136575935,1101,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-17,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1099,0,0
1779136575925,1114,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-58,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1113,0,0
1779136576052,993,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-43,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,992,0,0
1779136575135,1964,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-25,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1957,0,0
1779136576093,1008,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-68,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1007,0,0
1779136576129,976,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-42,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,976,0,0
1779136576093,1018,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-75,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1018,0,0
1779136575998,1114,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-9,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1114,0,0
1779136576129,983,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-15,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,983,0,0
1779136576136,982,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-96,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,981,0,0
